followed_uid	follower_uid	description	name	is_V	v_description	followers_count
5459887884	1665103091		酷狗音乐	0.0		7623063
5459887884	5963515265		包小通			70
5459887884	6041449682		同城小秘书	0.0		396514
5459887884	6538686153		那时黄花落满地a	0.0		1242
5459887884	3314110897		樱花树下d告白			161
5459887884	5819455384		心灵鸡汤正能量	0.0		168040
5459887884	6445992649		深夜小茶馆6445992649			9
5459887884	1939084832		包笑	0.0		486928
5459887884	1097612731		梵心泰佛招财堂			797
5459887884	6178372413		抚顺最热门	0.0		21740
5459887884	2240574632		佛法课堂	0.0		217913
5459887884	5836223965		Eilan09			77
5459887884	2479110454		WWE中国	0.0		254299
5459887884	1896532612		阿U网	0.0		107057
5459887884	5084535644		大唐雷音寺	0.0		186924
5459887884	1615743184		全球奇闻趣事	0.0		11298111
5459887884	5012796916		只如初见4567			613
5459887884	1748005893		吉亚_min			193
5459887884	1915645340		宅男宅女都震惊了	0.0		701437
