followed_uid	follower_uid	description	name	is_V	v_description	followers_count
5647658543	2212518065		丁香医生	0.0		1451703
5647658543	5555956379		Red-tree			2587
5647658543	1974561081		网易财经	0.0		971892
5647658543	1927070524		科学家种太阳	0.0		8596102
5647658543	5136362277		微博红包	0.0		16279091
5647658543	3176010690		带带大师兄	0.0		1135239
5647658543	2202911004		稗官野记	0.0		7327159
5647658543	1618051664		头条新闻	0.0		59163969
5647658543	6371913779		苏灵office			103
5647658543	5376387041		山鬼·自来也	0.0		855
5647658543	2585561673		编译原理使我快乐			113
5647658543	5996184614		国际版小助理			7210285
5647658543	2214838982		开水族馆的生物男	0.0		5216168
5647658543	2157909012		蓝铵			2659
5647658543	3225023833		Virsy西红柿			2329
5647658543	5632476291		蜗牛睡眠App	0.0		881862
5647658543	1571585030		58同城	0.0		7307056
