followed_uid	follower_uid	description	name	is_V	v_description	followers_count
3898211917	6344675554		气质大皇子			19405
3898211917	5794519372		LOL动图菌	0.0		2254974
3898211917	6586729422		煒吳			73
3898211917	5361009380		转角遇到妈个鸡			105579
3898211917	5528579801		徐城北_			1275
3898211917	1907518591		余霜YSCandice	0.0		2917159
3898211917	3258068280		相关部门的工作人员	0.0		927418
3898211917	2381967373		知小乎			1583894
3898211917	2099708877		iG电子竞技俱乐部	0.0		5424641
3898211917	2804610542		城南邮局	0.0		6274587
3898211917	5357651574		粉丝红包	0.0		56857262
3898211917	2744813892		一句文案	0.0		42453
3898211917	5620514751		ll老陈醋			55
3898211917	5019858977		Siyuyuyuyuyu0501			1205
3898211917	1452977132		史炎nacl	0.0		496060
3898211917	3217680342		传奇学长	0.0		1016910
3898211917	3784648604		张峰硕vs凹凸曼			1419
3898211917	2411659335		锦州美食攻略	0.0		145445
3898211917	1761179351		留几手	0.0		12080791
3898211917	2846828841		柒个先生	0.0		621652
