followed_uid	follower_uid	description	name	is_V	v_description	followers_count
6044531745	5882951422		可爱又迷人的卢本盒			1567874
6044531745	5806887837		咆哮的Pika			337
6044531745	1671890613		林毛毛			661422
6044531745	5878659096		超话社区	0.0		74117160
6044531745	1866430344		Vavarova			564
6044531745	1769165581		衣锦夜行的燕公子			4339367
6044531745	3904540917		咬猫狂魔			146915
6044531745	1679272984		黄贱人	0.0		1072596
6044531745	1788911247		谷大白话	0.0		11980882
6044531745	1645005104		废话师	0.0		1082542
6044531745	1735618597		驴立领	0.0		170228
6044531745	2445224733		天真爱丽丝	0.0		282292
6044531745	1900586141		菜刀曦曦	0.0		969245
6044531745	2123664205		英式没品笑话百科	0.0		8803994
6044531745	1762257041		扶他柠檬茶	0.0		1368158
6044531745	1268482477		汪了了			1399
6044531745	1760428875		李璟晨			1524
6044531745	1358967674		零点种草	0.0		1615907
6044531745	6127623286		adorerx	0.0		113340
6044531745	1803373765		废萝莉	0.0		7547
