followed_uid	follower_uid	description	name	is_V	v_description	followers_count
6476919222	6616210484		剧透揭秘	0.0		460158
6476919222	6302210289		捡书达人	0.0		413891
6476919222	6587004796		狗不理猫	0.0		6639
6476919222	6397684324		女侠黄芬奇			293
6476919222	2610990327		英语情诗表白	0.0		743618
6476919222	5707889183		全是壁纸啊	0.0		2793456
6476919222	6192877082		每日时下最流行	0.0		121693
6476919222	6471867620		美妆种草小小酱	0.0		86627
6476919222	5486700895		北京金玺刺青	0.0		7948
6476919222	1723261380		大绵羊BOBO	0.0		4492727
6476919222	6698284626		尬剧鉴赏中心	0.0		539577
6476919222	1713926427		微博搞笑排行榜	0.0		52119727
6476919222	6420899536		黑脸V	0.0		1490987
6476919222	2347175691		短片酱	0.0		2112401
6476919222	6581465336		二次元班长			962617
6476919222	5457790894		欢声笑语打出gg12138			56
6476919222	6722044026		BryanDechart	0.0		15256
6476919222	6424606439		frthappy			14
6476919222	6314600572		知书博士	0.0		701408
6476919222	3108949955		手工耿	0.0		750901
