followed_uid	follower_uid	description	name	is_V	v_description	followers_count
1411482802	6885151580		玉仁YR	0.0		31
1411482802	2160553221		勤奋de班长	0.0		6662478
1411482802	1885688010		吃瓜群众CJ	0.0		9570067
1411482802	1610411851		导盲犬Candie			375716
1411482802	1731141821		上海的宋三	0.0		6154
1411482802	6887542485		董叔照顾照顾	0.0		7894
1411482802	3922930275		搜狗IN盛典	0.0		97
1411482802	3305295663		四平公安	0.0		185865
1411482802	5939204645		兔子多樂	0.0		462972
1411482802	6004281123		梨视频	0.0		14058528
1411482802	2243807243		这里是美国	0.0		7920866
1411482802	5136362277		微博红包	0.0		16279091
1411482802	1243352187		苏芬以北NorthernAKP	0.0		306307
1411482802	1925365924		天才Lunatic			73321
1411482802	1229313084		容欣格格smile			144806
1411482802	5342220662		中华人民共和国应急管理部	0.0		520491
1411482802	1660452532		猫扑	0.0		5184616
1411482802	5799721772		泰国阿姐	0.0		2031389
1411482802	1170980471		普外科曾医生	0.0		258194
1411482802	1904769205		知乎	0.0		6953185
