followed_uid	follower_uid	description	name	is_V	v_description	followers_count
6590411825	5886158017		SwagFuck	0.0		933202
6590411825	3226385370		Stylosophy	0.0		3984506
6590411825	6772620217		小号磕磕			690
6590411825	6787681140		热恋不甜			5894
6590411825	6593902230		超真实塌睫毛			18055
6590411825	1491832997		袁湘琴的恋爱日记			92146
6590411825	5640137092		Hello__Bubble			201
6590411825	5824051112		原图妈	0.0		8686304
6590411825	3842904281		没冇下限	0.0		15331
6590411825	6869363133		名字只是代号90838224			26
6590411825	6870742064		懒宝宝椰			12844
6590411825	6533093595		603豪爽ti6533093595			20
6590411825	3165687050		Billboard吧	0.0		761664
6590411825	6863916458		咕噜咕噜喝水噜			177
6590411825	1779113992		爆肝妹妹	0.0		16578
6590411825	6575217667		腊月寻梦			687
6590411825	1628408182		五道口蹦迪高手			1136
6590411825	5361009380		转角遇到妈个鸡			105579
6590411825	6688760277		无限溺爱我的儿			43
