followed_uid	follower_uid	description	name	is_V	v_description	followers_count
6185886161	6412479971		痣多馨Koko	0.0		1387577
6185886161	1895300977		钱贵人	0.0		2678884
6185886161	5707124279		_Daryl_jay			610
6185886161	5235353180		露白呀			31070
6185886161	5873909762		尼古拉斯小棠			53049
6185886161	5220839587		豆瓣说	0.0		7090348
6185886161	5795291765		王咩阿	0.0		2490591
6185886161	6224564922		全是沙雕	0.0		2757244
6185886161	2391195543		春夏_x			1766487
6185886161	6738093673		种草小哪吒	0.0		171534
6185886161	2616794773		您慕斯了			832
6185886161	5664155877		real-cyyyyyyyyy			147
6185886161	1826792401		王思聪	0.0		45130943
6185886161	6593871464		天秀bot	0.0		1296947
6185886161	5635943515		家有俩小咪			170
6185886161	5401702768		情头辑			427533
6185886161	2811412392		惠子ssica	0.0		838005
6185886161	6315899738		奔现	0.0		5317742
6185886161	5596094365		赖美云后援会官博	0.0		39437
