followed_uid	follower_uid	description	name	is_V	v_description	followers_count
2630204823	1847672711		徐璐LULU	0.0		10899515
2630204823	1705180884		陈欧	0.0		45180504
2630204823	1651077203		张云龙mmc	0.0		7692706
2630204823	5096795550		浮力种草	0.0		643722
2630204823	2411842134		360手机助手	0.0		9398790
2630204823	1517934944		张翰	0.0		34867393
2630204823	1768198384		天猫	0.0		13698834
2630204823	5959626485		我真不是你老公-			135544
2630204823	5970443469		种草酱的碎碎念	0.0		591867
2630204823	5936137028		超话社区精选	0.0		27661215
2630204823	5878659096		超话社区	0.0		74117160
2630204823	5576276117		微博运动	0.0		40142938
2630204823	5870005390		粉象情话	0.0		847927
2630204823	1854424193		微博小游戏	0.0		2572529
2630204823	3246053994		内涵学姐			1010566
2630204823	5242849168		鲜城	0.0		1769354
2630204823	5747171142		牛牛的犄角向上扬	0.0		1057364
2630204823	2687827715		歐陽娜娜Nana	0.0		12585113
2630204823	1782432341		沈腾	0.0		7472810
2630204823	1275784277		蔡少芬	0.0		13439062
