followed_uid	follower_uid	description	name	is_V	v_description	followers_count
1767456387	2330156474		大妹妹菁菁			259840
1767456387	6174781048		中单法王无情	0.0		87446
1767456387	3053937404		穿红色披风去专柜的人			13213
1767456387	6762444823		保松周			52823
1767456387	1718159413		折腾5号	0.0		941662
1767456387	1359540065		Q君啊啊啊			349375
1767456387	3908517710		HH先生HH先生	0.0		166568
1767456387	5463978759		一只出格君	0.0		55814
1767456387	6014220704		AoiChen趣日本			185
1767456387	3108949955		手工耿	0.0		750901
1767456387	6010084724		Dead阿盬盬			28
1767456387	5652278863		hyukohhyuk	0.0		266613
1767456387	2230489697		曾轶可NewestNews	0.0		394672
1767456387	2700162334		逍遥散人M	0.0		1866846
1767456387	5510397770		骚白	0.0		3490891
1767456387	3964607707		有痕很乖巧			162880
1767456387	5220398012		花少北			216019
1767456387	6320517591		EDGM王者荣耀分部	0.0		202538
1767456387	6596653914		MotiFount_动机永动			2108592
